Player,Nation,Pos,Team,League,Age,Height,Weight,MatchesPlayed,Starts,MinutesPlayed,Goals,Assists,PenaltyGoals,PenaltiesAtt,YellowCards,RedCards,Per90MinutesGls,Per90MinutesAst,Per90MinutesG+A,Per90MinutesG-PK,Per90MinutesG+A-PK,xG,npxG,xA,Per90MinutesxG,Per90MinutesxA,Per90MinutesxG+xA,Per90MinutesnpxG,Per90MinutesnpxG+xA,90sPlayed,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VsDribblesTkl,VsDribblesAtt,VsDribblesTkl%,VsDribblesPast,Pressures,SuccessfulPressures,Pressures%,PressuresDef3rd,PressuresMid3rd,PressuresAtt3rd,Blocks,BlockedShots,BlockedSoT,BlockedPasses,PassesIntercepted,Tkl+Int,Clearances,ErrorsLeadingToShot,SCA,SCA90,SCATypesPassLive,SCATypesPassDead,SCATypesDrib,SCATypesSh,SCATypesFld,GCA,GCA90,GCATypesPassLive,GCATypesPassDead,GCATypesDrib,GCATypesSh,GCATypesFld,GCATypesOG,TotalCmp,TotalAtt,TotalCmp%,TotalTotDist,TotalPrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,LongAst,LongxA,LongA-xA,LongKP,Long,LongPPA,LongCrsPA,LongProg,PassTypesLive,PassTypesDead,PassTypesFK,PassTypesTB,PassTypesPress,PassTypesSw,PassTypesCrs,PassTypesCK,CornerKicksIn,CornerKicksOut,CornerKicksStr,GroundPasses,LowPasses,HighPasses,LeftFootPasses,RightFootPasses,HeadedPasses,ThrowInsTaken,MiscPasses,OutcomesOff,OutcomesOut,OutcomesInt,OutcomesBlocks,TouchesTouches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,TouchesLive,DribblesSucc,DribblesAtt,DribblesSucc%,Dribbles#Pl,DribblesMegs,Carries,CarriesTotDist,CarriesPrgDist,ReceivingTarg,ReceivingRec,ReceivingRec%,ReceivingMiscon,ReceivingDispos,StandardSh,StandardSoT,StandardSoT%,StandardSh/90,StandardSoT/90,StandardG/Sh,StandardG/SoT,StandardFK,ExpectednpxG/Sh,ExpectedG-xG,Expectednp:G-xG
Aaron Cresswell,ENG,DF,West Ham,Premier League,29.0,175,66,31,31,2727,3,0,0,0,7,0,0.1,0.0,0.1,0.1,0.1,1.3,1.3,1.8,0.04,0.06,0.1,0.04,0.1,30.3,48.0,29,25.0,18.0,5.0,24.0,59.0,40.7,35.0,355.0,118.0,33.2,186.0,130.0,39.0,64.0,10.0,0.0,54.0,15,63,92.0,2.0,46.0,1.52,33.0,6.0,2.0,1.0,4.0,2.0,0.07,1.0,0.0,1.0,0.0,0.0,0.0,1241.0,1681.0,73.8,21630.0,10702.0,18.0,88.0,20.5,1005.0,1151.0,87.3,218.0,442.0,49.3,0,1.8,-1.8,23.0,114.0,22.0,15.0,217.0,1292.0,389.0,45.0,3.0,242.0,38.0,70,19.0,11.0,5.0,0.0,796.0,359.0,526.0,1201.0,81.0,41.0,325.0,1.0,6.0,41.0,19.0,77.0,1971.0,108.0,550.0,944.0,562.0,26.0,1581.0,16.0,38.0,42.1,19.0,2.0,1076.0,4672.0,2310.0,1139.0,1047.0,91.9,9.0,13.0,18,5,27.8,0.59,0.17,0.17,0.6,7.0,0.07,1.7,1.7
Aaron Mooy,AUS,MF,Brighton,Premier League,28.0,173,72,31,25,2085,2,2,0,0,3,1,0.09,0.09,0.17,0.09,0.17,2.0,2.0,3.4,0.09,0.15,0.23,0.09,0.23,23.2,43.0,31,13.0,19.0,11.0,8.0,45.0,17.8,37.0,421.0,125.0,29.7,111.0,198.0,112.0,48.0,7.0,1.0,41.0,18,61,29.0,0.0,70.0,3.02,51.0,12.0,3.0,2.0,2.0,7.0,0.3,4.0,1.0,2.0,0.0,0.0,0.0,825.0,1075.0,76.7,14311.0,4142.0,18.0,60.0,30.0,661.0,747.0,88.5,146.0,268.0,54.5,2,3.4,-1.4,39.0,80.0,31.0,7.0,126.0,992.0,83.0,23.0,4.0,229.0,47.0,53,53.0,23.0,21.0,7.0,674.0,180.0,221.0,184.0,850.0,24.0,6.0,3.0,7.0,14.0,19.0,43.0,1359.0,40.0,203.0,623.0,640.0,42.0,1279.0,37.0,51.0,72.5,39.0,0.0,968.0,6448.0,3154.0,1104.0,927.0,84.0,30.0,54.0,33,8,24.2,1.42,0.35,0.06,0.25,0.0,0.06,0.0,0.0
Aaron Wan-Bissaka,ENG,DF,Manchester Utd,Premier League,21.0,183,72,35,34,3070,0,4,0,0,8,0,0.0,0.12,0.12,0.0,0.12,0.9,0.9,2.9,0.03,0.08,0.11,0.03,0.11,34.1,138.0,65,82.0,48.0,8.0,45.0,73.0,61.6,28.0,611.0,176.0,28.8,306.0,228.0,77.0,101.0,14.0,0.0,87.0,49,187,108.0,0.0,47.0,1.38,40.0,2.0,5.0,0.0,0.0,6.0,0.18,5.0,0.0,1.0,0.0,0.0,0.0,1676.0,2064.0,81.2,24885.0,9484.0,41.0,116.0,35.3,1498.0,1705.0,87.9,137.0,243.0,56.4,4,2.9,1.1,26.0,106.0,20.0,10.0,184.0,1680.0,384.0,16.0,0.0,299.0,16.0,71,0.0,0.0,0.0,0.0,1334.0,407.0,323.0,79.0,1558.0,43.0,368.0,2.0,5.0,23.0,35.0,94.0,2560.0,104.0,741.0,1186.0,775.0,46.0,2182.0,59.0,91.0,64.8,60.0,3.0,1548.0,8335.0,4973.0,1570.0,1456.0,92.7,26.0,43.0,9,1,11.1,0.26,0.03,0.0,0.0,0.0,0.1,-0.9,-0.9
Abdoulaye Doucouré,FRA,MF,Watford,Premier League,26.0,184,76,37,36,3156,4,2,0,0,9,0,0.11,0.06,0.17,0.11,0.17,5.3,5.3,2.6,0.15,0.08,0.23,0.15,0.23,35.1,70.0,49,29.0,30.0,11.0,16.0,60.0,26.7,44.0,947.0,238.0,25.1,268.0,463.0,216.0,59.0,9.0,0.0,50.0,22,92,45.0,0.0,80.0,2.28,59.0,0.0,10.0,8.0,3.0,6.0,0.17,4.0,0.0,0.0,2.0,0.0,0.0,1302.0,1658.0,78.5,21933.0,4818.0,44.0,112.0,39.3,1029.0,1240.0,83.0,229.0,306.0,74.8,2,2.6,-0.6,33.0,120.0,33.0,4.0,113.0,1645.0,13.0,8.0,2.0,348.0,24.0,27,1.0,0.0,0.0,0.0,1171.0,295.0,192.0,260.0,1283.0,68.0,0.0,6.0,4.0,19.0,29.0,64.0,2065.0,77.0,424.0,1112.0,662.0,98.0,2053.0,49.0,78.0,62.8,51.0,2.0,1427.0,7284.0,3964.0,1619.0,1370.0,84.6,44.0,50.0,62,12,19.4,1.77,0.34,0.06,0.33,0.0,0.09,-1.3,-1.3
Achraf Hakimi,MAR,DF,Dortmund,Bundesliga,20.0,181,73,33,29,2715,5,10,0,0,5,0,0.17,0.33,0.5,0.17,0.5,3.8,3.8,4.4,0.13,0.15,0.27,0.13,0.27,30.2,57.0,37,36.0,16.0,5.0,23.0,68.0,33.8,45.0,464.0,159.0,34.3,167.0,165.0,132.0,54.0,2.0,0.0,52.0,24,81,31.0,1.0,81.0,2.69,66.0,1.0,6.0,3.0,5.0,18.0,0.6,15.0,0.0,3.0,0.0,0.0,0.0,2042.0,2422.0,84.3,31904.0,10224.0,44.0,115.0,38.3,1778.0,1989.0,89.4,220.0,318.0,69.2,10,4.4,5.6,35.0,112.0,43.0,13.0,247.0,2141.0,281.0,18.0,6.0,351.0,54.0,89,8.0,2.0,3.0,0.0,1750.0,410.0,262.0,242.0,1856.0,49.0,255.0,5.0,0.0,21.0,55.0,84.0,2826.0,53.0,564.0,1445.0,1005.0,112.0,2548.0,66.0,117.0,56.4,73.0,10.0,2072.0,11595.0,7447.0,2341.0,2071.0,88.5,53.0,57.0,38,20,52.6,1.26,0.66,0.13,0.25,3.0,0.1,1.2,1.2
Adam Bodzek,GER,MF,Düsseldorf,Bundesliga,33.0,184,80,28,22,2015,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.3,0.03,0.01,0.04,0.03,0.04,22.4,40.0,28,19.0,20.0,1.0,16.0,66.0,24.2,50.0,401.0,131.0,32.7,140.0,226.0,35.0,46.0,14.0,0.0,32.0,21,61,47.0,0.0,16.0,0.71,15.0,1.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,584.0,709.0,82.4,12574.0,3016.0,9.0,20.0,45.0,398.0,469.0,84.9,177.0,220.0,80.5,0,0.3,-0.3,6.0,56.0,4.0,0.0,57.0,689.0,20.0,18.0,0.0,152.0,42.0,3,0.0,0.0,0.0,0.0,426.0,141.0,142.0,42.0,574.0,60.0,2.0,9.0,1.0,14.0,10.0,10.0,899.0,75.0,317.0,500.0,108.0,13.0,880.0,4.0,6.0,66.7,4.0,0.0,481.0,1846.0,841.0,529.0,479.0,90.5,10.0,12.0,9,4,44.4,0.4,0.18,0.0,0.0,0.0,0.08,-0.7,-0.7
Adam Masina,ITA,DF,Watford,Premier League,25.0,191,87,26,20,1821,1,0,0,0,3,0,0.05,0.0,0.05,0.05,0.05,0.7,0.7,0.6,0.04,0.03,0.06,0.04,0.06,20.2,40.0,25,26.0,11.0,3.0,14.0,45.0,31.1,31.0,263.0,77.0,29.3,120.0,105.0,38.0,41.0,13.0,2.0,28.0,23,63,99.0,2.0,20.0,0.99,18.0,2.0,0.0,0.0,0.0,1.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,582.0,934.0,62.3,11968.0,6034.0,11.0,47.0,23.4,419.0,526.0,79.7,152.0,361.0,42.1,0,0.6,-0.6,13.0,57.0,15.0,12.0,131.0,716.0,218.0,17.0,0.0,162.0,39.0,60,8.0,5.0,1.0,1.0,322.0,168.0,444.0,568.0,62.0,67.0,193.0,5.0,6.0,23.0,8.0,32.0,1186.0,102.0,392.0,567.0,269.0,21.0,973.0,11.0,18.0,61.1,11.0,0.0,535.0,2661.0,1350.0,568.0,523.0,92.1,11.0,13.0,15,3,20.0,0.74,0.15,0.07,0.33,1.0,0.05,0.3,0.3
Adam Webster,ENG,DF,Brighton,Premier League,24.0,191,75,31,31,2668,3,1,0,0,4,0,0.1,0.03,0.13,0.1,0.13,1.1,1.1,1.0,0.04,0.03,0.07,0.04,0.07,29.6,37.0,25,25.0,10.0,2.0,16.0,36.0,44.4,20.0,222.0,86.0,38.7,146.0,67.0,9.0,66.0,31.0,0.0,35.0,34,71,182.0,3.0,21.0,0.71,19.0,1.0,1.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,1547.0,1824.0,84.8,33753.0,11543.0,7.0,26.0,26.9,1047.0,1159.0,90.3,493.0,639.0,77.2,1,1.0,0.0,10.0,91.0,5.0,1.0,101.0,1740.0,84.0,52.0,1.0,298.0,47.0,9,0.0,0.0,0.0,0.0,1269.0,241.0,314.0,333.0,1298.0,105.0,31.0,5.0,5.0,26.0,19.0,17.0,2175.0,349.0,1281.0,938.0,131.0,30.0,2099.0,12.0,14.0,85.7,12.0,0.0,1348.0,9481.0,5950.0,1425.0,1400.0,98.2,8.0,14.0,16,7,43.8,0.54,0.24,0.19,0.43,0.0,0.07,1.9,1.9
Adama Traoré,ESP,FW,Wolves,Premier League,23.0,178,72,37,27,2605,4,9,0,0,1,0,0.14,0.31,0.45,0.14,0.45,3.5,3.5,6.7,0.12,0.23,0.35,0.12,0.35,28.9,41.0,23,15.0,14.0,12.0,10.0,27.0,37.0,17.0,404.0,108.0,26.7,98.0,198.0,108.0,28.0,4.0,0.0,24.0,8,49,24.0,0.0,56.0,5.0,37.0,15.0,1.0,0.0,3.0,4.0,0.36,3.0,1.0,0.0,0.0,0.0,0.0,399.0,493.0,80.9,7081.0,2067.0,13.0,17.0,76.5,306.0,358.0,85.5,80.0,118.0,67.8,4,4.1,-0.1,34.0,40.0,14.0,1.0,70.0,425.0,68.0,21.0,3.0,100.0,18.0,13,36.0,19.0,10.0,5.0,353.0,77.0,63.0,381.0,88.0,9.0,5.0,5.0,1.0,5.0,20.0,7.0,1400.0,28.0,151.0,666.0,767.0,118.0,1346.0,156.0,211.0,73.9,161.0,3.0,1252.0,13209.0,8675.0,1394.0,1045.0,75.0,82.0,90.0,43,12,27.9,1.49,0.41,0.09,0.33,0.0,0.08,0.5,0.5
Adrien Rabiot,FRA,MF,Juventus,Serie A,24.0,192,80,28,21,1912,1,1,0,0,7,1,0.05,0.05,0.09,0.05,0.09,1.0,1.0,0.8,0.05,0.04,0.08,0.05,0.08,21.2,56.0,39,16.0,25.0,15.0,19.0,43.0,44.2,24.0,495.0,149.0,30.1,123.0,246.0,126.0,45.0,8.0,1.0,37.0,26,82,17.0,0.0,49.0,2.31,39.0,0.0,2.0,3.0,5.0,6.0,0.28,3.0,0.0,1.0,1.0,1.0,0.0,1017.0,1141.0,89.1,16100.0,2892.0,24.0,64.0,37.5,854.0,915.0,93.3,139.0,162.0,85.8,1,0.8,0.2,14.0,81.0,9.0,3.0,46.0,1125.0,16.0,2.0,1.0,218.0,18.0,20,0.0,0.0,0.0,0.0,894.0,167.0,80.0,883.0,190.0,37.0,13.0,4.0,2.0,16.0,11.0,33.0,1397.0,44.0,231.0,805.0,477.0,44.0,1381.0,37.0,48.0,77.1,37.0,2.0,1047.0,6619.0,3354.0,1176.0,1046.0,88.9,27.0,28.0,19,6,31.6,0.89,0.28,0.05,0.17,0.0,0.05,0.0,0.0
