Player,Nation,Pos,Team,League,Age,Height,Weight,Overall,Potential,TotalStats,BaseStats,BestPosition,ValueEUR,WageEUR,ClubNumber,PreferredFoot,IntReputation,WeakFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle
Aaron Cresswell,ENG,DF,West Ham,Premier League,29.0,175,66,77,77,2024,420,LB,7000000,37000,3.0,Left,2,3,3,High,Medium,70,60,74,75,75,66,79,54,65,76,48,76,77,70,69,74,73,68,73,74,81,71,84,68,61,66,73,75,60,68,59,71,74,78,79
Aaron Mooy,AUS,MF,Brighton,Premier League,28.0,173,72,76,76,2061,430,CM,0,0,,Right,1,3,3,Medium,Medium,63,71,78,74,69,75,75,68,50,80,65,73,73,72,80,77,67,60,70,74,74,73,70,78,74,76,75,68,70,79,73,80,72,72,69
Aaron Wan-Bissaka,ENG,DF,Manchester Utd,Premier League,21.0,183,72,83,88,2007,441,RB,30500000,115000,29.0,Right,1,2,4,Medium,High,86,51,68,80,82,74,74,44,58,74,43,82,68,45,56,77,84,88,85,82,73,70,62,79,71,46,78,83,69,64,56,76,82,85,90
Abdoulaye Doucouré,FRA,MF,Watford,Premier League,26.0,184,76,78,80,2058,445,CDM,11000000,69000,16.0,Right,2,3,3,High,Medium,68,74,71,74,76,82,68,72,66,77,68,76,41,42,75,77,64,72,62,75,68,84,72,90,80,75,77,77,73,75,54,74,76,78,76
Achraf Hakimi,MAR,DF,Dortmund,Bundesliga,20.0,181,73,83,88,2122,470,RM,35000000,92000,98.0,Right,1,2,3,High,Medium,94,70,76,82,72,76,81,73,63,81,60,84,68,55,72,83,93,95,77,81,74,77,75,86,73,63,72,78,75,74,46,79,67,74,76
Adam Bodzek,GER,MF,Düsseldorf,Bundesliga,33.0,184,80,70,70,1767,355,CDM,675000,14000,13.0,Right,1,2,2,Low,High,37,54,61,58,71,74,49,48,61,68,54,57,61,59,65,59,41,34,53,69,62,66,83,67,78,59,71,71,44,59,55,70,71,74,70
Adam Masina,ITA,DF,Watford,Premier League,25.0,191,87,74,76,1785,389,LB,6000000,15000,11.0,Left,1,3,3,Medium,High,67,42,67,68,72,73,76,30,72,69,37,69,64,35,68,73,60,73,63,69,42,63,64,76,75,46,66,72,58,60,31,72,69,75,76
Adam Webster,ENG,DF,Brighton,Premier League,24.0,191,75,75,79,1659,373,CB,7500000,42000,4.0,Right,1,4,2,Medium,Medium,68,29,59,68,75,74,50,26,76,73,27,68,27,25,70,72,67,68,63,71,59,37,77,69,76,32,72,76,26,53,24,75,75,76,73
Adama Traoré,ESP,FW,Wolves,Premier League,23.0,178,72,79,85,1918,436,RM,17500000,80000,37.0,Right,1,2,4,High,Low,96,66,68,87,38,81,79,66,40,72,52,92,67,42,54,83,97,96,85,66,88,78,79,77,87,65,70,41,64,69,47,73,37,38,35
Adrien Rabiot,FRA,MF,Juventus,Serie A,24.0,192,80,81,82,2166,459,CM,21000000,83000,25.0,Left,2,3,3,Medium,Medium,72,74,78,79,77,79,70,69,77,84,72,78,73,59,79,84,69,74,75,83,72,80,73,77,82,79,76,80,76,80,67,81,70,81,75
Adrián López,ESP,FW,Osasuna,La Liga,31.0,183,73,75,75,1840,383,CF,5500000,30000,20.0,Right,2,4,3,Medium,Low,72,75,70,78,27,61,65,75,73,74,75,79,76,57,65,82,73,71,72,74,65,76,71,49,68,71,58,32,77,71,76,66,20,19,16
Albin Ekdal,SWE,MF,Sampdoria,Serie A,30.0,186,82,75,75,1947,405,CM,6000000,19000,6.0,Right,2,3,3,Medium,Medium,47,65,76,73,71,73,70,60,62,80,66,74,74,70,78,79,50,44,59,74,58,72,63,71,71,69,83,72,70,75,68,76,74,72,64
